HP;15- da0093nv Laptop;Core i3 7100U,4 GB,1 TB,GeForce MX110 2 GB
HP;15- da0093nv Laptop;Core i3 7100U,4 GB,1 TB,GeForce MX110 2 GB
HP;Pavilion x360 15 -cr0001nv Laptop;Core i7 8550U,6 GB,1 TB,Radeon 530 4 GB
Lenovo;IP 320-15AST E2 Laptop;E2 9000,4 GB,128 GB,R2
HP;250 G6 2XZ40EA Laptop;Core i3 6006U,4 GB,1 TB,Radeon 520 2 GB
HP;255 G6 Laptop;A6 9220,4 GB,1 TB,RADEON R4
HP;15 -db0010nv Laptop;Ryzen 3 2200U,4 GB,128GB SSD + 1TB HDD,Radeon 530 2 GB
Apple;MacBook Pro 15 ΞΌΞµ Touch Bar & Core i9 (Mid 2018) Space Gray Laptop;Core i9 8950HK,32 GB,1 TB,Radeon Graphics
Lenovo;Ideapad 330-15IKB Laptop;Core i5 7200U,4 GB,500 GB,HD Graphics
HP;15 -cs0018nv Laptop;Core i7 8550U,8 GB,256 GB,MX150 4 GB
Lenovo;Ideapad 330-15AST Laptop;A4 9125,4 GB,128 GB,AMD R3
HP;15- bs150nv Laptop;Intel Core i3 5005U,4 GB,500 GB,
HP;15 -ra051nv Laptop;Celeron N3060,4 GB,500 GB,HD Graphics
HP;OMEN 17-w202nv Laptop;Core i7 7700HQ,12 GB,256GB SSD + 1TB HDD,GTX 1050 4 GB
Dell;Inspiron 3576-2616 Laptop;Core i7 8550U,8 GB,256 GB,Radeon 520 2 GB
Apple;MacBook Pro 15 ΞΌΞµ Touch Bar MR942GR/A (Mid 2018) Space Gray Laptop;Core i7 8850H,16 GB,512 GB,Radeon Graphics
Apple;MacBook Pro 13 ΞΌΞµ Touch Bar MR9Q2GR/A (Mid 2018) Space Gray Laptop;Core i5 8259U,8 GB,256 GB,Iris Graphics
Lenovo;Ideapad 320-15ISK Laptop;Core i3 6006U,4 GB,128 GB,HD Graphics
Lenovo;Legion Y530-15ICH Laptop;Intel Core i7 8750H,8 GB,128GB SSD + 1TB HDD,GTX 1050 4 GB
Lenovo;Yoga 730 -13IKB Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Dell;Inspiron 15 3576-2562 Laptop;Core i5 7200U,8 GB,256 GB,Radeon 520 2 GB
Turbo-X;Steel MX II MTS Laptop;Celeron N3350,4 GB,32 GB,HD Graphics
Dell;XPS 9560-2979 (16G/512G/Pro) Laptop;Core i7 7700HQ,16 GB,512 GB,GTX 1050 4 GB
Dell;3567 Pro B2B Inspiron Laptop;Core i3 6006U,4 GB,128 GB,HD Graphics
Microsoft;Surface Book 2 i7 (8650U) Laptop;Core i7 8650U,8 GB,256 GB,GTX 1050 2 GB
Toshiba;Tecra X40-D-10G Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Dell;Inspiron 13 7386-2722 Laptop;Core i7 8565U,16 GB,512 GB,HD Graphics
Microsoft;Surface Pro (Gen 5) i5/256G FJX-00004 Laptop;Core i5 7300U,8 GB,256 GB,Intel HD Graphics 620
Apple;MacBook Pro 13'' ΞΌΞµ Touch Bar MR9V2GR/A (Mid 2018) Silver Laptop;Core i58259U,8 GB,512 GB,Iris Graphics
Dell;Inspiron 5579-7808 360 Laptop;Core i5 8250U,8 GB,256 GB,HD Graphics
