Model;Specs;Description;Price;rating;category;tags;withdrawn;rated
HUAWEI Y7 Prime 2018 4G Smartphone Μπλε;screen:5.99" IPS,cpu:8πύρηνος Snapdragon 430, brand:HUAWEI;Εντυπωσιακή οθόνη 5,99" με HD+ ανάλυση, διπλό πίσω σύστημα κάμερας, 8πύρηνο επεξεργαστή Qualcomm, 3GB μνήμη RAM και προεγκατεστημένο Andrtoid 8.0 Oreo με EMUI 8.0;179;4;phone;Technology;0;1
HUAWEI Mate 20 Pro 4G+ Smartphone Μαύρο;screen:6.39" OLED,cpu:8πύρηνος Kirin 980,Μνήμη (RAM/ROM):6 GB / 128 GB,brand:HUAWEI;Μεγάλη FullView 2K+ οθόνη 6,39 ιντσών, 8πύρηνος Kirin 980 με διπλό NPU, 6GB μνήμης RAM, μπαταρία 4.200mAh, σύστημα τριπλής AI κάμερας και αντοχή σε νερό και σκόνη;1049;5;phone;Technology;0;1
HUAWEI Y7 Prime 2018 4G Smartphone Μαύρο;screen:5.99" IPS,cpu:8πύρηνος Snapdragon 430,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:HUAWEI;Εντυπωσιακή οθόνη 5,99" με HD+ ανάλυση, διπλό πίσω σύστημα κάμερας, 8πύρηνο επεξεργαστή Qualcomm, 3GB μνήμη RAM και προεγκατεστημένο Andrtoid 8.0 Oreo με EMUI 8.0;179;4;phone;Technology;0;1
HUAWEI P20 Lite 4G+ Smartphone Μαύρο;screen:5.84",cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Απογείωσε την απόδοση σου με τον 8πύρηνο Kirin 659 & τα 4GB RAM, απόλαυσε την Full View οθόνη των 5,84" και πραγματοποίησε λήψεις με τη διπλή πίσω κάμερα;329;5;phone;Technology;0;1
HUAWEI P20 Pro Twilight 4G+ Smartphone;screen:6.1" OLED,cpu:8πύρηνος Kirin 970,Μνήμη (RAM/ROM):6 GB / 128 GB,brand:HUAWEI;Απόλαυσε την OLED Full View οθόνη των 6,1", τον κορυφαίο 8πύρηνο Kirin 970 με τα 6GB RAM & το τριπλό σύστημα κάμερας για λήψεις που εντυπωσιάζουν;699;5;phone;Technology;0;1
Apple iPhone XS Max 64GB Space Grey 4G+ Smartphone;screen:6.5" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):64 GB,brand:Apple;Με τη μεγαλύτερη οθόνη σε iPhone, Super Retina 6,5" τεχνολογίας OLED, το πιο έξυπνο & ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1339;4;phone;Technology;0;1
Apple iPhone XS Max 64GB Gold 4G+ Smartphone;screen:6.5" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):64 GB,brand:Apple;Με τη μεγαλύτερη οθόνη σε iPhone, Super Retina 6,5" τεχνολογίας OLED, το πιο έξυπνο & ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1339;4;phone;Technology;0;1
Samsung Galaxy A6 DS 4G Smartphone Μαύρο;screen:5.6" Super Amoled,cpu:8πύρηνος Exynos 7870,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Samsung;;289;3;phone;Technology;0;1
Apple iPhone X 64GB Space Grey 4G+ Smartphone;screen:5.8" Super Retina HD,cpu:6πύρηνος A11 Bionic,Μνήμη (RAM/ROM):3 GB / 64 GB,brand:Apple;OLED οθόνη από άκρη σε άκρη χωρίς πλήκτρο, γυαλί και ανοξείδωτο ατσάλι, πανίσχυρος επεξεργαστής A11 Bionic, διπλό σύστημα κάμερας πίσω και TrueDepth κάμερα εμπρός, απογειώνει την επικοινωνία σου;999;0;phone;Technology;0;1
Apple iPhone X 64GB Silver 4G+ Smartphone;screen:5.8" Super Retina HD,cpu:6πύρηνος A11 Bionic,Μνήμη (RAM/ROM):3 GB / 64 GB,brand:Apple;OLED οθόνη από άκρη σε άκρη χωρίς πλήκτρο, γυαλί και ανοξείδωτο ατσάλι, πανίσχυρος επεξεργαστής A11 Bionic, διπλό σύστημα κάμερας πίσω και TrueDepth κάμερα εμπρός, απογειώνει την επικοινωνία σου;999;2;phone;Technology;0;1
Apple iPhone XS Max 256GB Space Grey 4G+ Smartphone;screen:6.5" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):256 GB,brand:Apple;Με τη μεγαλύτερη οθόνη σε iPhone, Super Retina 6,5" τεχνολογίας OLED, το πιο έξυπνο & ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1539;1;phone;Technology;0;1
Apple iPhone XS 64GB Space Grey 4G+ Smartphone;screen:5.8" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):64 GB,brand:Apple;Το iPhone XS έρχεται με οθόνη Super Retina 5,8" τεχνολογίας OLED, το πιο έξυπνο και ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1229;3;phone;Technology;0;1
Apple iPhone XS Max 256GB Gold 4G+ Smartphone;screen:6.5" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):256 GB,brand:Apple;Με τη μεγαλύτερη οθόνη σε iPhone, Super Retina 6,5" τεχνολογίας OLED, το πιο έξυπνο & ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1539;0;phone;Technology;0;1
HUAWEI Mate 10 lite 4G Smartphone Μαύρο;screen:5.9" IPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Με οθόνη 5,9” Full HD ανάλυσης, επεξεργαστή 8 πυρήνων, 4GB μνήμη RAM, 64GB αποθηκευτικό χώρο, μπαταρία 3.340mAh και 4 κάμερες το έχεις πάντα μαζί σου για κάθε εργασία και μοναδικές selfie;249;0;phone;Technology;0;1
HUAWEI P20 Lite 4G Smartphone Ροζ;screen:5.84",cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Απογείωσε την απόδοση σου με τον 8πύρηνο Kirin 659 & τα 4GB RAM, απόλαυσε την Full View οθόνη των 5,84" και πραγματοποίησε λήψεις με τη διπλή πίσω κάμερα;329;1;phone;Technology;0;1
Apple iPhone 8 64GB Space Grey 4G+ Smartphone;screen:4.7" Retina HD True Tone Display,cpu:6πύρηνος A11 Bionic,Μνήμη (RAM/ROM):2 GB / 64 GB,brand:Apple;Σχεδιασμός από γυαλί & αλουμίνιο, νέος πανίσχυρος A11 Bionic επεξεργαστής, Retina HD True Tone οθόνη, εξελιγμένες κάμερες και το πιο προηγμένο λειτουργικό σύστημα φορητών συσκευών στον κόσμο, iOS 11;749;2;phone;Technology;0;1
HUAWEI Mate 20 Lite 4G+ Smartphone Μπλε;screen:6.3" LTPS,cpu:8πύρηνος Kirin 710,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Επιδόσεις εκτός των συνηθισμένων, με 8πύρηνο επεξεργαστή Kirin 710, οθόνη FullView 6,3” FHD+ και AI κάμερες με τεχνολογία HDR για εντυπωσιακές λήψεις;399;4;phone;Technology;0;1
HUAWEI P20 Lite 4G Smartphone Μπλε;screen:5.84",cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Απογείωσε την απόδοση σου με τον 8πύρηνο Kirin 659 & τα 4GB RAM, απόλαυσε την Full View οθόνη των 5,84" και πραγματοποίησε λήψεις με τη διπλή πίσω κάμερα;329;3;phone;Technology;0;1
Samsung Galaxy J6 DS 4G Smartphone Μαύρο;screen:5.6" Super Amoled,cpu:8πύρηνος Exynos 7870,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Samsung;Με οθόνη 5,6" Super AMOLED, 8πυρηνο επεξεργαστή Exynos στα 1,6GHz, 3GB μνήμης RAM, ξεκλείδωμα με αναγνώριση προσώπου, κύρια κάμερα στα 13MP και selfie στα 8MP με φλας;199;5;phone;Technology;0;1
Apple iPhone 8 plus 64GB Gold 4G+ Smartphone;screen:5.5" Retina HD True Tone Display,cpu:6πύρηνος A11 Bionic,Μνήμη (RAM/ROM):3 GB / 64 GB,brand:Apple;Σχεδιασμός από γυαλί & αλουμίνιο, νέος πανίσχυρος A11 Bionic επεξεργαστής, Retina HD True Tone οθόνη, εξελιγμένες κάμερες και το πιο προηγμένο λειτουργικό σύστημα φορητών συσκευών στον κόσμο, iOS 11;869;4;phone;Technology;0;1
Sony Xperia XZ1 4G Smartphone Μαύρο;screen:5.2" Full HD,cpu:8πύρηνος Snapdragon,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:Sony;Τα smartphones στα καλύτερα τους με οθόνη 5,2 ιντσών full HD, επεξεργαστή Snapdragon 835, 4GB μνήμη RAM, κάμερα στα 19MPixels, super slow motion στα 960fps καιAndroid 8.0 Oreo;229;3;phone;Technology;0;1
Apple iPhone XR 128GB Black 4G+ Smartphone;screen:6.1" LCD,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):128 GB,brand:Apple;Η οθόνη 6,1" Liquid Retina δεσπόζει στην εμπρός πλευρά, ενσωματώνει τον πανίσχυρο A12 Bionic με μονάδα NPU, προσφέρει ταχύτερη αναγνώριση προσώπου Face ID & νέα πίσω κάμερα για λήψεις που ξεχωρίζουν;999;1;phone;Technology;0;1
Apple iPhone XS 64GB Silver 4G+ Smartphone;screen:5.8" OLED,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):64 GB,brand:Apple;Το iPhone XS έρχεται με οθόνη Super Retina 5,8" τεχνολογίας OLED, το πιο έξυπνο και ισχυρό επεξεργαστή σε smartphone, ταχύτερη αναγνώριση προσώπου Face ID και διπλή πίσω κάμερα για μοναδικές λήψεις;1229;0;phone;Technology;0;1
HUAWEI Mate 20 Lite 4G+ Smartphone Μαύρο;screen:6.3" LTPS,cpu:8πύρηνος Kirin 710,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Επιδόσεις εκτός των συνηθισμένων, με 8πύρηνο επεξεργαστή Kirin 710, οθόνη FullView 6,3” FHD+ και AI κάμερες με τεχνολογία HDR για εντυπωσιακές λήψεις;399;0;phone;Technology;0;1
honor 9 Lite 4G Smartphone Μαύρο;screen:5.65" LTPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:honor;Με FullView οθόνη 5,65 ιντσών, διπλό σύστημα κάμερας στην εμπρός και πίσω πλευρά, 8πυρηνο Kirin 659, 3GB μνήμη RAM και 32GB χώρο;249;4;phone;Technology;0;1
Samsung Galaxy A6 DS 4G Smartphone Χρυσό;screen:5.6" Super Amoled,cpu:8πύρηνος Exynos 7870,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Samsung;;289;0;phone;Technology;0;1
honor 9 Lite 4G Smartphone Μπλε;screen:5.65" LTPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:honor;Με FullView οθόνη 5,65 ιντσών, διπλό σύστημα κάμερας στην εμπρός και πίσω πλευρά, 8πυρηνο Kirin 659, 3GB μνήμη RAM και 32GB χώρο;249;2;phone;Technology;0;1
honor 7S DS 4G Smartphone Μαύρο;screen:5.45" TFT,cpu:4πύρηνος MT6739,Μνήμη (RAM/ROM):2 GB / 16 GB,brand:honor;Έρχεται με οθόνη 5,45" και ανάλυση HD+, προσφέρει κρυστάλλινο ήχο και σε θορυβώδες περιβάλλον, έχει μεγάλη μπαταρία, 4πυρηνο επεξεργαστή, πίσω κάμερα 13MP με PDAF και τρέχει Android 8.1;139;0;phone;Technology;0;1
honor 9 Lite 4G Smartphone Γκρι;screen:5.65" LTPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:honor;Με FullView οθόνη 5,65 ιντσών, διπλό σύστημα κάμερας στην εμπρός και πίσω πλευρά, 8πυρηνο Kirin 659, 3GB μνήμη RAM και 32GB χώρο;249;4;phone;Technology;0;1
Turbo-X α4 3G Smartphone Μαύρο;screen:5.34" WGA,cpu:4πύρηνος MTK6580M,Μνήμη (RAM/ROM):1 GB / 8 GB,brand:Turbo-X;Με 4πύρηνο επεξεργαστή, 1GB RAM, υποστήριξη Dual nano-SIM, δύο κάμερες, άνετη οθόνη 5.34” και Android Go δίνει νέες διαστάσεις στην επικοινωνία;70;4;phone;Technology;0;1
Apple iPhone 8 plus 64GB Silver 4G+ Smartphone;screen:5.5" Retina HD True Tone Display,cpu:6πύρηνος A11 Bionic,Μνήμη (RAM/ROM):3 GB / 64 GB,brand:Apple;Σχεδιασμός από γυαλί & αλουμίνιο, νέος πανίσχυρος A11 Bionic επεξεργαστής, Retina HD True Tone οθόνη, εξελιγμένες κάμερες και το πιο προηγμένο λειτουργικό σύστημα φορητών συσκευών στον κόσμο, iOS 11;869;1;phone;Technology;0;1
Xiaomi Redmi Note 6 Pro 64G 4G Smartphone Μαύρο;screen:6.26" FHD+,cpu:8πύρηνος Snapdragon 636,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:Xiaomi;Μεγάλη οθόνη 6,26 ιντσών, επεξεργαστής Snapdragon 636 με 4GB μνήμη RAM, τέσσερις ΑΙ κάμερες, μπαταρία 4.000mAh και MIUI 10 για επιδόσεις και ασφάλεια;289;4;phone;Technology;0;1
Apple Phone XR 64GB Black 4G+ Smartphone;screen:6.1" LCD,cpu:6πύρηνος A12 Bionic,Μνήμη (RAM/ROM):64 GB,brand:Apple;Η οθόνη 6,1" Liquid Crystal δεσπόζει στην εμπρός πλευρά, ενσωματώνει τον πανίσχυρο A12 Bionic με μονάδα NPU, προσφέρει ταχύτερη αναγνώριση προσώπου Face ID & νέα πίσω κάμερα για λήψεις που ξεχωρίζουν;929;0;phone;Technology;0;1
Xiaomi Redmi 6 32GB 3G Smartphone Black;screen:5.45" HD+ IPS,cpu:8πύρηνος Helio P22,Μνήμη (RAM/ROM):3 GB / 32 GB,brand:Xiaomi;Οκταπύρηνος επεξεργαστής Helio P22, οθόνη 5.45" Full Screen, Dual-SIM+ και κάμερες με ΑΙ χαρακτηριστικά συνθέτουν μία ολοκληρωμένη και προσιτή Dual Camera συσκευή
;159;2;phone;Technology;0;1
HUAWEI Mate 10 lite 4G Smartphone Χρυσό;screen:5.9" IPS,cpu:8πύρηνος Kirin 659,Μνήμη (RAM/ROM):4 GB / 64 GB,brand:HUAWEI;Με οθόνη 5,9” Full HD ανάλυσης, επεξεργαστή 8 πυρήνων, 4GB μνήμη RAM, 64GB αποθηκευτικό χώρο, μπαταρία 3.340mAh και 4 κάμερες το έχεις πάντα μαζί σου για κάθε εργασία και μοναδικές selfie;249;5;phone;Technology;0;1
