Ακίνδυνος Αλβανός

Σεραφείμ Μπουφές

Σουλτάνα Κουτσουκλανιότογλου

Αγλαΐα Βουνοτρυπίδου

Τίμιος Τέλειος

Κάρολος Φρίκης

Κάρολος Σκορδαλιάς

Βρασίδας Βρυκόλακας

Ιππουργός Ξυπόλυτος

Κροίση Πετρελαίου

Πέτσας Καλοψημένος

Αριστομένης Φάλαινας

Ολυμπία Φάρσαλα

Ολυμπία Τρίκαλα

Σεβαστή Φέτα

Πύργος Ηλίας

Κλεοπάτρα Κοκαλιάρογλου

Περσεφόνη Τρομπέτα

Λητώ Βρακάκη

Ευλογέτα Τσουτσούνη

Πόθος Καρπός

Λέλα Τρέλα

Ζήσης Γεράσης

Φρίξος Σπάτουλας

Φρίξος Χατζησαλάτας

Αντωνία Χατζηρούφα

Αριστοτέλης Ξεσφυγγούλης

Ηλίας Σφίγγης

Αριστοκράτης Ξεσφίγγης

Κάρολος Κινέζος

Ελπιδοφόρος Προσπαθόπουλος

Φανούριος Μπινές

Ακριβή Γουρούνα

Ροδόλφος Παπιομύτογλου

Χαριτωμένη Ταράτσα

Αμανάτιος Βελόνας

Αριστοτέλης Βερίκοκος

Ειρηνονίκη Γαμβρού

Όμηρος Λουκάνικας

Σαριμπάλα Ζωγραφίνα

Παγώνα Σίγουρα

Αρσινόη Σουβλάκη

Ανθούλα Καπνιστή

Παρασκευή Μεσημέρη

Κυριακή Μεσημέρη

Παρθένα Τσιμπούκα

Μάρτης Απρίλης

Ζαμπέτα Φέτα

Βούτα Κασσιανή

Παρθένα Γαμίδου

Ροδάμανθυς Φουκαράς

Διαλεχτή Κατσίκα
